title,company_type,company_size,skills,additional,views_count,english_level
Програміст 1С,Роздрібна торгівля;,більше 1000 співробітників,", MS Excel, MySQL, Користувач 1С, Програмування, Програмування 1С, Налаштування СКД",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст 1C,"Будівельна промисловість, деревообробка;",250–1000 співробітників,", 1С УТП, Програмування, Програмування 1С, Налаштування СКД",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,3,
Програміст-десинатор в'язального обладнання,"Оптова торгівля, дистрибуція, імпорт, експорт;",250–1000 співробітників,", Комунікабельність, Відповідальність, Уважність, Старанність",Повна зайнятість. Досвід роботи від 2 років.,6,
MS SQL Server database developer,IT;,менше 10 співробітників,", SQL, MS SQL Server, Programming, Oracle SQL Developer, Determination, Database design",Повна зайнятість. Досвід роботи від 2 років.,2,
Android-програміст,IT;,10–50 співробітників,", Git, XML, JSON, Android SDK, Знання принципів ООП, Знання принципів MVC, REST API, REST, Kotlin, MVVM, Розуміння архітектури MVP, Realm, Саморозвиток, LiveData, SDK, Продуктивність, Бажання вчитися і розвиватися",Повна зайнятість.,2,
WordPress-розробник,IT;,менше 10 співробітників,", CSS, HTML, PHP, MySQL, WordPress, JavaScript, Ответственность, Content Management System, Верстка, Адаптивная верстка, Elementor, ACF, Самостоятельность, Желание учиться и развиваться, Разработка сайтов на Shopify","Неповна зайнятість. Також готові взяти студента, людину з інвалідністю. Досвід роботи від 1 року.",3,Російська — середній
Программист (PHP Middle),IT;,менше 10 співробітників,", PHP, MySQL, Git, Администрирование Apache, PHPUnit, nginx, Codeception",Повна зайнятість. Досвід роботи від 2 років.,3,"Російська — вільно, англійська — просунутий"
"Програміст 1С, BAS","Будівельна промисловість, деревообробка;",50–250 співробітників,", Користувач 1С, Ведення бухгалтерського обліку, Комунікабельність, Користувач ERP-системи, Користувач BAS, Програмування, Робота з базою даних, Уважність, Програмування 1С, Налаштування СКД","Повна зайнятість, неповна зайнятість. Досвід роботи від 2 років. Вища освіта.",1,
Інженер-програміст дронів,"Пошук персоналу, HR;",10–50 співробітників,", Програмування","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 1 року.",1,
Game developer,IT;,менше 10 співробітників,", Програмування, C++, Reading blueprints, Unreal Engine","Неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 1 року.",1,
Java бекенд-розробник в стартап,IT;,менше 10 співробітників,", Java, SQL, Знання принципів ООП, REST, Програмування","Повна зайнятість, неповна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана, пенсіонера.",4,
"Team Lead, PHP-програміст","Маркетинг, реклама, PR;",менше 10 співробітників,", CSS, Користувач ОС Linux, JavaScript, HTML, PHP, MySQL, React, Відповідальність, Знання принципів ООП, Laravel, Node.js, TypeScript, Робота в команді, Адміністрування Apache, nginx, Здатність до навчання, REST, Програмування, Bitbucket, AWS, WebSocket, Організованість, Blockchain","Повна зайнятість, неповна зайнятість. Досвід роботи від 2 років.",2,Англійська — вище середнього
Програміст 1C (BAF),Роздрібна торгівля;,250–1000 співробітників,", Користувач ОС Windows, Користувач 1С, Пунктуальність, Програмування, Програмування 1С, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 1 року.,1,
"Machine Learning, Python Developer",IT;,50–250 співробітників,", Python, Responsibility, Machine learning, Deep Learning","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Вища освіта.",2,Англійська — середній
Програміст 1C (BAF),Роздрібна торгівля;,250–1000 співробітників,", Користувач ОС Windows, Користувач 1С, Пунктуальність, Програмування, Програмування 1С, Бажання вчитися і розвиватися",Повна зайнятість. Досвід роботи від 1 року.,1,
Програміст Odoo,"Хімічна промисловість, фармацевтика;",більше 1000 співробітників,,Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,2,
SQL/Node.js Developer,IT;,10–50 співробітників,", SQL, JavaScript, PostgreSQL, XML, Oracle Database, PL/SQL, Node.js",Повна зайнятість. Також готові взяти пенсіонера. Досвід роботи від 2 років. Вища освіта.,1,
"Back end розробник (С#, розробка GTA RP серверу)",IT;,менше 10 співробітників,", MySQL, Git, C#, Знання принципів ООП, Стресостійкість, Здатність до навчання, REST API, REST, Цілеспрямованість, SOLID Principles","Повна зайнятість. Також готові взяти студента, людину з інвалідністю, ветерана. Досвід роботи від 1 року.",3,
"SQL, SSIS, SSRS, ETL developer",IT;,менше 10 співробітників,,Повна зайнятість. Досвід роботи від 2 років.,1,
Senior Backend Developer (PHP),IT;,10–50 співробітників,", CSS, Користувач ОС Linux, JavaScript, HTML, PHP, MySQL, Git, Jira, Відповідальність, Знання принципів ООП, Laravel, Docker, Vue.js, Composer",Повна зайнятість. Також готові взяти людину з інвалідністю. Досвід роботи від 5 років.,1,
C++ embedded developer (Linux),"Телекомунікації, зв'язок",,", Користувач ОС Linux, Git, Python, C++, Програмування, OpenCV",Повна зайнятість. Досвід роботи від 2 років. Вища освіта.,2,
PHP full-stack developer,"Медицина, охорона здоров'я, аптеки;",10–50 співробітників,", CSS, JavaScript, PHP, SQL, Git, Knowledge of OOP principles, Front-end development","Повна зайнятість, неповна зайнятість. Також готові взяти людину з інвалідністю, ветерана, пенсіонера. Досвід роботи від 2 років. Вища освіта.",3,
UI-розробник,IT;,50–250 співробітників,", CSS, JavaScript, HTML, Адаптивність",Повна зайнятість. Досвід роботи від 2 років.,1,
